"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"This test case validates User Creation and Deletion functionality","24291","testUserCreationAndDeletion","PreVista Automation Suite","2026-09-17","passed","2026-09-17","com.vista.tests.CreateUserTest","UI Automation Tests","com.vista.tests.CreateUserTest","testUserCreationAndDeletion"
"This test case validates Certificate Search with custom number","14591","testCertificateSearchWithCustomNumber","PreVista Automation Suite","2026-09-17","passed","2026-09-17","com.vista.tests.DashboardFunctionsTest","UI Automation Tests","com.vista.tests.DashboardFunctionsTest","testCertificateSearchWithCustomNumber"
"This test case validates Dashboard Search and Filter functionalities","25244","testDashboardSearchAndFilters","PreVista Automation Suite","2026-09-17","passed","2026-09-17","com.vista.tests.DashboardFunctionsTest","UI Automation Tests","com.vista.tests.DashboardFunctionsTest","testDashboardSearchAndFilters"
"This test case validates E2E Corporate Request flow","44055","testCorporateRequestFlow","PreVista Automation Suite","2026-09-17","passed","2026-09-17","com.vista.tests.CorporateRequestTest","UI Automation Tests","com.vista.tests.CorporateRequestTest","testCorporateRequestFlow"
"This test case validates E2E Manual Request flow","39028","testManualRequestFlow","PreVista Automation Suite","2026-09-17","passed","2026-09-17","com.vista.tests.ManualRequestTest","UI Automation Tests","com.vista.tests.ManualRequestTest","testManualRequestFlow"
"This test case validates Login/Logout functionality","14223","testLoginLogout","PreVista Automation Suite","2026-09-17","passed","2026-09-17","com.vista.tests.LoginLogoutTest","UI Automation Tests","com.vista.tests.LoginLogoutTest","testLoginLogout"
