"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"This test case validates Certificate Search with custom number","13922","testCertificateSearchWithCustomNumber","PreVista Automation Suite","2026-05-25","passed","2026-05-25","com.vista.tests.DashboardFunctionsTest","UI Automation Tests","com.vista.tests.DashboardFunctionsTest","testCertificateSearchWithCustomNumber"
"This test case validates Login/Logout functionality","12208","testLoginLogout","PreVista Automation Suite","2026-05-25","passed","2026-05-25","com.vista.tests.LoginLogoutTest","UI Automation Tests","com.vista.tests.LoginLogoutTest","testLoginLogout"
"This test case validates E2E Corporate Request flow","41005","testCorporateRequestFlow","PreVista Automation Suite","2026-05-25","passed","2026-05-25","com.vista.tests.CorporateRequestTest","UI Automation Tests","com.vista.tests.CorporateRequestTest","testCorporateRequestFlow"
"This test case validates E2E Manual Request flow","35241","testManualRequestFlow","PreVista Automation Suite","2026-05-25","passed","2026-05-25","com.vista.tests.ManualRequestTest","UI Automation Tests","com.vista.tests.ManualRequestTest","testManualRequestFlow"
"This test case validates Dashboard Search and Filter functionalities","23679","testDashboardSearchAndFilters","PreVista Automation Suite","2026-05-25","passed","2026-05-25","com.vista.tests.DashboardFunctionsTest","UI Automation Tests","com.vista.tests.DashboardFunctionsTest","testDashboardSearchAndFilters"
"This test case validates User Creation and Deletion functionality","22814","testUserCreationAndDeletion","PreVista Automation Suite","2026-05-25","passed","2026-05-25","com.vista.tests.CreateUserTest","UI Automation Tests","com.vista.tests.CreateUserTest","testUserCreationAndDeletion"
