"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"This test case validates Certificate Search with custom number","14058","testCertificateSearchWithCustomNumber","PreVista Automation Suite","2026-06-30","passed","2026-06-30","com.vista.tests.DashboardFunctionsTest","UI Automation Tests","com.vista.tests.DashboardFunctionsTest","testCertificateSearchWithCustomNumber"
"This test case validates E2E Corporate Request flow","32248","testCorporateRequestFlow","PreVista Automation Suite","2026-06-30","passed","2026-06-30","com.vista.tests.CorporateRequestTest","UI Automation Tests","com.vista.tests.CorporateRequestTest","testCorporateRequestFlow"
"This test case validates E2E Manual Request flow","30316","testManualRequestFlow","PreVista Automation Suite","2026-06-30","passed","2026-06-30","com.vista.tests.ManualRequestTest","UI Automation Tests","com.vista.tests.ManualRequestTest","testManualRequestFlow"
"This test case validates Login/Logout functionality","13213","testLoginLogout","PreVista Automation Suite","2026-06-30","passed","2026-06-30","com.vista.tests.LoginLogoutTest","UI Automation Tests","com.vista.tests.LoginLogoutTest","testLoginLogout"
"This test case validates User Creation and Deletion functionality","22334","testUserCreationAndDeletion","PreVista Automation Suite","2026-06-30","passed","2026-06-30","com.vista.tests.CreateUserTest","UI Automation Tests","com.vista.tests.CreateUserTest","testUserCreationAndDeletion"
"This test case validates Dashboard Search and Filter functionalities","14897","testDashboardSearchAndFilters","PreVista Automation Suite","2026-06-30","passed","2026-06-30","com.vista.tests.DashboardFunctionsTest","UI Automation Tests","com.vista.tests.DashboardFunctionsTest","testDashboardSearchAndFilters"
