"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"This test case validates Certificate Search with custom number","14924","testCertificateSearchWithCustomNumber","PreVista Automation Suite","2026-07-13","passed","2026-07-13","com.vista.tests.DashboardFunctionsTest","UI Automation Tests","com.vista.tests.DashboardFunctionsTest","testCertificateSearchWithCustomNumber"
"This test case validates Dashboard Search and Filter functionalities","23853","testDashboardSearchAndFilters","PreVista Automation Suite","2026-07-13","passed","2026-07-13","com.vista.tests.DashboardFunctionsTest","UI Automation Tests","com.vista.tests.DashboardFunctionsTest","testDashboardSearchAndFilters"
"This test case validates Login/Logout functionality","17120","testLoginLogout","PreVista Automation Suite","2026-07-13","passed","2026-07-13","com.vista.tests.LoginLogoutTest","UI Automation Tests","com.vista.tests.LoginLogoutTest","testLoginLogout"
"This test case validates E2E Manual Request flow","39708","testManualRequestFlow","PreVista Automation Suite","2026-07-13","passed","2026-07-13","com.vista.tests.ManualRequestTest","UI Automation Tests","com.vista.tests.ManualRequestTest","testManualRequestFlow"
"This test case validates E2E Corporate Request flow","38040","testCorporateRequestFlow","PreVista Automation Suite","2026-07-13","passed","2026-07-13","com.vista.tests.CorporateRequestTest","UI Automation Tests","com.vista.tests.CorporateRequestTest","testCorporateRequestFlow"
"This test case validates User Creation and Deletion functionality","25410","testUserCreationAndDeletion","PreVista Automation Suite","2026-07-13","passed","2026-07-13","com.vista.tests.CreateUserTest","UI Automation Tests","com.vista.tests.CreateUserTest","testUserCreationAndDeletion"
