"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"This test case validates User Creation and Deletion functionality","24754","testUserCreationAndDeletion","PreVista Automation Suite","2026-08-18","passed","2026-08-18","com.vista.tests.CreateUserTest","UI Automation Tests","com.vista.tests.CreateUserTest","testUserCreationAndDeletion"
"This test case validates E2E Manual Request flow","45368","testManualRequestFlow","PreVista Automation Suite","2026-08-18","passed","2026-08-18","com.vista.tests.ManualRequestTest","UI Automation Tests","com.vista.tests.ManualRequestTest","testManualRequestFlow"
"This test case validates Dashboard Search and Filter functionalities","27583","testDashboardSearchAndFilters","PreVista Automation Suite","2026-08-18","passed","2026-08-18","com.vista.tests.DashboardFunctionsTest","UI Automation Tests","com.vista.tests.DashboardFunctionsTest","testDashboardSearchAndFilters"
"This test case validates Login/Logout functionality","15311","testLoginLogout","PreVista Automation Suite","2026-08-18","passed","2026-08-18","com.vista.tests.LoginLogoutTest","UI Automation Tests","com.vista.tests.LoginLogoutTest","testLoginLogout"
"This test case validates E2E Corporate Request flow","38350","testCorporateRequestFlow","PreVista Automation Suite","2026-08-18","passed","2026-08-18","com.vista.tests.CorporateRequestTest","UI Automation Tests","com.vista.tests.CorporateRequestTest","testCorporateRequestFlow"
"This test case validates Certificate Search with custom number","15185","testCertificateSearchWithCustomNumber","PreVista Automation Suite","2026-08-18","passed","2026-08-18","com.vista.tests.DashboardFunctionsTest","UI Automation Tests","com.vista.tests.DashboardFunctionsTest","testCertificateSearchWithCustomNumber"
