"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"This test case validates Certificate Search with custom number","15813","testCertificateSearchWithCustomNumber","PreVista Automation Suite","2026-05-06","passed","2026-05-06","com.vista.tests.DashboardFunctionsTest","UI Automation Tests","com.vista.tests.DashboardFunctionsTest","testCertificateSearchWithCustomNumber"
"This test case validates Login/Logout functionality","11700","testLoginLogout","PreVista Automation Suite","2026-05-06","passed","2026-05-06","com.vista.tests.LoginLogoutTest","UI Automation Tests","com.vista.tests.LoginLogoutTest","testLoginLogout"
"This test case validates E2E Corporate Request flow","36742","testCorporateRequestFlow","PreVista Automation Suite","2026-05-06","passed","2026-05-06","com.vista.tests.CorporateRequestTest","UI Automation Tests","com.vista.tests.CorporateRequestTest","testCorporateRequestFlow"
"This test case validates User Creation and Deletion functionality","22791","testUserCreationAndDeletion","PreVista Automation Suite","2026-05-06","passed","2026-05-06","com.vista.tests.CreateUserTest","UI Automation Tests","com.vista.tests.CreateUserTest","testUserCreationAndDeletion"
"This test case validates Dashboard Search and Filter functionalities","25061","testDashboardSearchAndFilters","PreVista Automation Suite","2026-05-06","passed","2026-05-06","com.vista.tests.DashboardFunctionsTest","UI Automation Tests","com.vista.tests.DashboardFunctionsTest","testDashboardSearchAndFilters"
"This test case validates E2E Manual Request flow","40151","testManualRequestFlow","PreVista Automation Suite","2026-05-06","passed","2026-05-06","com.vista.tests.ManualRequestTest","UI Automation Tests","com.vista.tests.ManualRequestTest","testManualRequestFlow"
