"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"This test case is for E2E manual request completion","37431","ManualRequests","AllureSuite","2026-03-18","passed","2026-03-18","Testcases.ManualRequestTest","AllureTest","Testcases.ManualRequestTest","ManualRequests"
"This test case is for Login/Logout functinality","5748","LogIn","AllureSuite","2026-03-18","passed","2026-03-18","Testcases.LoginLogoutTest","AllureTest","Testcases.LoginLogoutTest","LogIn"
"This test case is for Dashboard Search Functionalities","25384","CertSearch","AllureSuite","2026-03-18","passed","2026-03-18","Testcases.DashboardfunctionsTest","AllureTest","Testcases.DashboardfunctionsTest","CertSearch"
"This test case is for UserCreation functionality","14507","UserCreation","AllureSuite","2026-03-18","passed","2026-03-18","Testcases.CreateUserTest","AllureTest","Testcases.CreateUserTest","UserCreation"
"This test case is for E2E manual Corporate request completion","36187","ManualCorporateRequests","AllureSuite","2026-03-18","passed","2026-03-18","Testcases.CorporateRequestTest","AllureTest","Testcases.CorporateRequestTest","ManualCorporateRequests"
