"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"This test case validates User Creation and Deletion functionality","22078","testUserCreationAndDeletion","PreVista Automation Suite","2026-07-08","passed","2026-07-08","com.vista.tests.CreateUserTest","UI Automation Tests","com.vista.tests.CreateUserTest","testUserCreationAndDeletion"
"This test case validates E2E Corporate Request flow","34433","testCorporateRequestFlow","PreVista Automation Suite","2026-07-08","passed","2026-07-08","com.vista.tests.CorporateRequestTest","UI Automation Tests","com.vista.tests.CorporateRequestTest","testCorporateRequestFlow"
"This test case validates Dashboard Search and Filter functionalities","23160","testDashboardSearchAndFilters","PreVista Automation Suite","2026-07-08","passed","2026-07-08","com.vista.tests.DashboardFunctionsTest","UI Automation Tests","com.vista.tests.DashboardFunctionsTest","testDashboardSearchAndFilters"
"This test case validates E2E Manual Request flow","39574","testManualRequestFlow","PreVista Automation Suite","2026-07-08","passed","2026-07-08","com.vista.tests.ManualRequestTest","UI Automation Tests","com.vista.tests.ManualRequestTest","testManualRequestFlow"
"This test case validates Certificate Search with custom number","14343","testCertificateSearchWithCustomNumber","PreVista Automation Suite","2026-07-08","passed","2026-07-08","com.vista.tests.DashboardFunctionsTest","UI Automation Tests","com.vista.tests.DashboardFunctionsTest","testCertificateSearchWithCustomNumber"
"This test case validates Login/Logout functionality","13463","testLoginLogout","PreVista Automation Suite","2026-07-08","passed","2026-07-08","com.vista.tests.LoginLogoutTest","UI Automation Tests","com.vista.tests.LoginLogoutTest","testLoginLogout"
