"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"This test case is for UserCreation functionality","14592","UserCreation","AllureSuite","2026-03-13","passed","2026-03-13","Testcases.CreateUserTest","AllureTest","Testcases.CreateUserTest","UserCreation"
"This test case is for E2E manual request completion","38586","ManualRequests","AllureSuite","2026-03-13","passed","2026-03-13","Testcases.ManualRequestTest","AllureTest","Testcases.ManualRequestTest","ManualRequests"
"This test case is for Login/Logout functinality","4945","LogIn","AllureSuite","2026-03-13","passed","2026-03-13","Testcases.LoginLogoutTest","AllureTest","Testcases.LoginLogoutTest","LogIn"
"This test case is for E2E manual Corporate request completion","35318","ManualCorporateRequests","AllureSuite","2026-03-13","passed","2026-03-13","Testcases.CorporateRequestTest","AllureTest","Testcases.CorporateRequestTest","ManualCorporateRequests"
"This test case is for Dashboard Search Functionalities","23859","CertSearch","AllureSuite","2026-03-13","passed","2026-03-13","Testcases.DashboardfunctionsTest","AllureTest","Testcases.DashboardfunctionsTest","CertSearch"
