"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"This test case validates Dashboard Search and Filter functionalities","23135","testDashboardSearchAndFilters","PreVista Automation Suite","2026-04-10","passed","2026-04-10","com.vista.tests.DashboardFunctionsTest","UI Automation Tests","com.vista.tests.DashboardFunctionsTest","testDashboardSearchAndFilters"
"This test case validates E2E Corporate Request flow","42457","testCorporateRequestFlow","PreVista Automation Suite","2026-04-10","passed","2026-04-10","com.vista.tests.CorporateRequestTest","UI Automation Tests","com.vista.tests.CorporateRequestTest","testCorporateRequestFlow"
"This test case validates E2E Manual Request flow","37330","testManualRequestFlow","PreVista Automation Suite","2026-04-10","passed","2026-04-10","com.vista.tests.ManualRequestTest","UI Automation Tests","com.vista.tests.ManualRequestTest","testManualRequestFlow"
"This test case validates User Creation and Deletion functionality","23169","testUserCreationAndDeletion","PreVista Automation Suite","2026-04-10","passed","2026-04-10","com.vista.tests.CreateUserTest","UI Automation Tests","com.vista.tests.CreateUserTest","testUserCreationAndDeletion"
"This test case validates Login/Logout functionality","11875","testLoginLogout","PreVista Automation Suite","2026-04-10","passed","2026-04-10","com.vista.tests.LoginLogoutTest","UI Automation Tests","com.vista.tests.LoginLogoutTest","testLoginLogout"
"This test case validates Certificate Search with custom number","14231","testCertificateSearchWithCustomNumber","PreVista Automation Suite","2026-04-10","passed","2026-04-10","com.vista.tests.DashboardFunctionsTest","UI Automation Tests","com.vista.tests.DashboardFunctionsTest","testCertificateSearchWithCustomNumber"
