"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"This test case validates E2E Corporate Request flow","46233","testCorporateRequestFlow","PreVista Automation Suite","2026-04-09","passed","2026-04-09","com.vista.tests.CorporateRequestTest","UI Automation Tests","com.vista.tests.CorporateRequestTest","testCorporateRequestFlow"
"This test case validates E2E Manual Request flow","44709","testManualRequestFlow","PreVista Automation Suite","2026-04-09","passed","2026-04-09","com.vista.tests.ManualRequestTest","UI Automation Tests","com.vista.tests.ManualRequestTest","testManualRequestFlow"
"This test case validates Login/Logout functionality","12442","testLoginLogout","PreVista Automation Suite","2026-04-09","passed","2026-04-09","com.vista.tests.LoginLogoutTest","UI Automation Tests","com.vista.tests.LoginLogoutTest","testLoginLogout"
"This test case validates Certificate Search with custom number","15235","testCertificateSearchWithCustomNumber","PreVista Automation Suite","2026-04-09","passed","2026-04-09","com.vista.tests.DashboardFunctionsTest","UI Automation Tests","com.vista.tests.DashboardFunctionsTest","testCertificateSearchWithCustomNumber"
"This test case validates User Creation and Deletion functionality","23393","testUserCreationAndDeletion","PreVista Automation Suite","2026-04-09","passed","2026-04-09","com.vista.tests.CreateUserTest","UI Automation Tests","com.vista.tests.CreateUserTest","testUserCreationAndDeletion"
"This test case validates Dashboard Search and Filter functionalities","26407","testDashboardSearchAndFilters","PreVista Automation Suite","2026-04-09","passed","2026-04-09","com.vista.tests.DashboardFunctionsTest","UI Automation Tests","com.vista.tests.DashboardFunctionsTest","testDashboardSearchAndFilters"
