"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"This test case is for Login/Logout functinality","6811","LogIn","AllureSuite","2026-03-19","passed","2026-03-19","Testcases.LoginLogoutTest","AllureTest","Testcases.LoginLogoutTest","LogIn"
"This test case is for UserCreation functionality","16139","UserCreation","AllureSuite","2026-03-19","passed","2026-03-19","Testcases.CreateUserTest","AllureTest","Testcases.CreateUserTest","UserCreation"
"This test case is for Dashboard Search Functionalities","26556","CertSearch","AllureSuite","2026-03-19","passed","2026-03-19","Testcases.DashboardfunctionsTest","AllureTest","Testcases.DashboardfunctionsTest","CertSearch"
"This test case is for E2E manual Corporate request completion","37760","ManualCorporateRequests","AllureSuite","2026-03-19","passed","2026-03-19","Testcases.CorporateRequestTest","AllureTest","Testcases.CorporateRequestTest","ManualCorporateRequests"
"This test case is for E2E manual request completion","44630","ManualRequests","AllureSuite","2026-03-19","passed","2026-03-19","Testcases.ManualRequestTest","AllureTest","Testcases.ManualRequestTest","ManualRequests"
