"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"This test case is for UserCreation functionality","15585","UserCreation","AllureSuite","2026-03-30","passed","2026-03-30","Testcases.CreateUserTest","AllureTest","Testcases.CreateUserTest","UserCreation"
"This test case is for Login/Logout functinality","5216","LogIn","AllureSuite","2026-03-30","passed","2026-03-30","Testcases.LoginLogoutTest","AllureTest","Testcases.LoginLogoutTest","LogIn"
"This test case is for Dashboard Search Functionalities","24402","CertSearch","AllureSuite","2026-03-30","passed","2026-03-30","Testcases.DashboardfunctionsTest","AllureTest","Testcases.DashboardfunctionsTest","CertSearch"
"This test case is for E2E manual Corporate request completion","30061","ManualCorporateRequests","AllureSuite","2026-03-30","passed","2026-03-30","Testcases.CorporateRequestTest","AllureTest","Testcases.CorporateRequestTest","ManualCorporateRequests"
"This test case is for E2E manual request completion","32019","ManualRequests","AllureSuite","2026-03-30","passed","2026-03-30","Testcases.ManualRequestTest","AllureTest","Testcases.ManualRequestTest","ManualRequests"
